date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:54:21	152502/152502	---M--	200	added ('OK')	image/jpeg	etag:%221e75eb776483d31:0%22	https://www.benfranklin365.com/images/blog/What-is-the-Right-Temperature-for-My-Water-Heater-BF.jpg	C:/Personal/Hawthorne/BF365Website/BF8-4-2018/www.benfranklin365.com/images/blog/What-is-the-Right-Temperature-for-My-Water-Heater-BF.jpg	(from https://www.benfranklin365.com/blog/2016/)
10:54:21	41075/41075	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Aug%202018%2017:54:23%20GMT	https://www.benfranklin365.com/blog/2016/april/4-plumbing-tips-to-kick-off-your-spring-right/	C:/Personal/Hawthorne/BF365Website/BF8-4-2018/www.benfranklin365.com/blog/2016/april/4-plumbing-tips-to-kick-off-your-spring-right/index.html	(from https://www.benfranklin365.com/blog/2016/)
10:54:22	419279/419279	---M--	200	added ('OK')	image/jpeg	etag:%22e18bdd4f5d83d31:0%22	https://www.benfranklin365.com/images/blog/Tree-Roots-Clog-Your-Sewer-Pipe-BF.jpg	C:/Personal/Hawthorne/BF365Website/BF8-4-2018/www.benfranklin365.com/images/blog/Tree-Roots-Clog-Your-Sewer-Pipe-BF.jpg	(from https://www.benfranklin365.com/blog/2016/)
10:54:22	72782/72782	---M--	200	added ('OK')	image/jpeg	etag:%22f38d6efc1360d31:0%22	https://www.benfranklin365.com/images/blog/Holiday-Plumbing-Care-BF.jpg	C:/Personal/Hawthorne/BF365Website/BF8-4-2018/www.benfranklin365.com/images/blog/Holiday-Plumbing-Care-BF.jpg	(from https://www.benfranklin365.com/blog/2016/)
10:54:23	39578/39578	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Aug%202018%2017:54:23%20GMT	https://www.benfranklin365.com/blog/2016/november/holiday-plumbing-care/	C:/Personal/Hawthorne/BF365Website/BF8-4-2018/www.benfranklin365.com/blog/2016/november/holiday-plumbing-care/index.html	(from https://www.benfranklin365.com/blog/2016/)
10:54:23	96285/96285	---M-Z	200	added ('OK')	text/css	etag:%22927b0d89f14d41:0%22	https://www.benfranklin365.com/cms/includes/kmib7ialp8j.1807051336256.css	C:/Personal/Hawthorne/BF365Website/BF8-4-2018/www.benfranklin365.com/cms/includes/kmib7ialp8j.1807051336256.css	(from https://www.benfranklin365.com/blog/2018/may/water-heater-tripping-its-reset-button-here-s-wh/)
10:54:24	34769/34769	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Aug%202018%2017:54:25%20GMT	https://www.benfranklin365.com/blog/2018/may/	C:/Personal/Hawthorne/BF365Website/BF8-4-2018/www.benfranklin365.com/blog/2018/may/index.html	(from https://www.benfranklin365.com/blog/2018/may/water-heater-tripping-its-reset-button-here-s-wh/)
10:54:26	18570/18570	---M-Z	200	added ('OK')	application/javascript	etag:%22425e81719d41:0%22	https://www.benfranklin365.com/cms/includes/r1t4gwg8von.1806201842201.js	C:/Personal/Hawthorne/BF365Website/BF8-4-2018/www.benfranklin365.com/cms/includes/r1t4gwg8von.1806201842201.js	(from https://www.benfranklin365.com/blog/2018/may/water-heater-tripping-its-reset-button-here-s-wh/)
10:54:27	36000/36000	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Aug%202018%2017:54:27%20GMT	https://www.benfranklin365.com/blog/2018/april/	C:/Personal/Hawthorne/BF365Website/BF8-4-2018/www.benfranklin365.com/blog/2018/april/index.html	(from https://www.benfranklin365.com/blog/2018/april/preparing-you-re-a-c-for-the-summer/)
10:54:28	103980/103980	---M-Z	200	added ('OK')	text/css	etag:%22927b0d89f14d41:0%22	https://www.benfranklin365.com/cms/includes/fyrq6j1c_u9.1807051336256.css	C:/Personal/Hawthorne/BF365Website/BF8-4-2018/www.benfranklin365.com/cms/includes/fyrq6j1c_u9.1807051336256.css	(from https://www.benfranklin365.com/site-map/)
